Rank;Autores;Ano;Palavras-chave;TÃ­tulo;Revista;NÃºmero de CitaÃ§Ãµes;DOI;Abstract
11;"R. GonzÃ¡lez Perea; Andre Daccache; J.A. RodrÃ­guez DÃ­az; E. Camacho Poyato; Jerry W. Knox";2017;"AquaCrop; Variable rate irrigation; Onion; Sprinklers; Water resources";Modelling impacts of precision irrigation on crop yield and in-field water management;Precision Agriculture;83;10.1007/s11119-017-9535-4;Precision irrigation technologies are being widely promoted to resolve challenges regarding improving crop productivity under conditions of increasing water scarcity. In this paper, the development of an integrated modelling approach involving the coupling of a water application model with a biophysical crop simulation model (Aquacrop) to evaluate the in-field impacts of precision irrigation on crop yield and soil water management is described. The approach allows for a comparison between conventional irrigation management practices against a range of alternate so-called â€˜precision irrigationâ€™ strategies (including variable rate irrigation, VRI). It also provides a valuable framework to evaluate the agronomic (yield), water resource (irrigation use and water efficiency), energy (consumption, costs, footprint) and environmental (nitrate leaching, drainage) impacts under contrasting irrigation management scenarios. The approach offers scope for including feedback loops to help define appropriate irrigation management zones and refine application depths accordingly for scheduling irrigation. The methodology was applied to a case study in eastern England to demonstrate the utility of the framework and the impacts of precision irrigation in a humid climate on a high-value field crop (onions). For the case study, the simulations showed how VRI is a potentially useful approach for irrigation management even in a humid environment to save water and reduce deep percolation losses (drainage). It also helped to increase crop yield due to improved control of soil water in the root zone, especially during a dry season.
12;"Fasika Alemayehu; Motuma Tolera; Gizaw Tesfaye";2019;"Drivers; geographic information system (GIS); Land use/Land cover Change prediction; Somodo Watershed";Land use land cover change trend and its drivers in Somodo watershed South Western, Ethiopia.;African Journal of Agricultural Research;79;10.5897/ajar2018.13672;"Land use land cover (LULC) dynamics are a widespread, accelerating, and significant process driven by human actions. LULC changes analysis is one of the most precise techniques to understand how land was used in the past, what types of changes are to be expected in the future, as well as the forces and processes behind the changes. This study was carried out to evaluate the historical and future trends as well as driving forces of LULC changes in Somodo watershed South Western, Ethiopia. It was accompanied using satellite image of Landsat5 TM 1985 and 1995, Landsat7 ETM+ 1999, 2005 and Landsat8 OLI/TIROS 2017. In addition, field observations, Key informant interview (KII) and Focus Group Discussion (FGD) were also conducted. ERDAS Imagine 9.1, QGIS 2.18 and IDRSI Selva 17.00, software were used for satellite image processing, map preparation, and LULC change prediction respectively. During the 32 year period between 1985 and 2017, the proportion of area covered by forest and agriculture was decreased by 60.57 ha (12.7%) and 5.22 ha (1.1%) respectively. In contrast, home garden Agroforestry/settlement and grassland were increased by 49.77 ha (7.5%) and 16.02 ha (6.7%) respectively. If the existing rate of LULC change lasts, in 2029 agriculture and forestland are predicted to increase by 91.24 ha and 20.52 ha respectively, while grassland and home garden Agroforestry/settlement are predicted to decrease by 99.97 ha and 11.79 ha respectively. LULC change in the study area is an outcome of several proximate and underlying drivers. The major proximate driving forces of LULC change in the watershed are illegal logging and fuel wood extraction, Expansion of plantation, expansion of settlement, agricultural expansion, and construction of infrastructures. Demographic, Economic, Technological, Institution and policy, and Biophysical factors constitute the major underlying drivers of LULC change in the study area. Population growth is the major underlying cause for LULC change in the study area. Then, Participatory Forest Management through plantation and community nursery expansion is required for forest cover improvement in the watershed. This study also suggests further study on the impact of LULC change in the area.; ; 	Key words: Drivers, geographic information system (GIS), Land use/Land cover Change prediction, Somodo Watershed."
13;"Walter Chivasa; Onisimo Mutanga; Çhandrashekhar Biradar";2020;"Multispectral image; Normalized Difference Vegetation Index; Remote sensing; Environmental science; Crop";UAV-Based Multispectral Phenotyping for Disease Resistance to Accelerate Crop Improvement under Changing Climate Conditions;REMOTE SENSING;77;10.3390/rs12152445;Accelerating crop improvement for increased yield and better adaptation to changing climatic conditions is an issue of increasing urgency in order to satisfy the ever-increasing global food demand. However, the major bottleneck is the absence of high-throughput plant phenotyping methods for rapid and cost-effective data-driven variety selection and release in plant breeding. Traditional phenotyping methods that rely on trained experts are slow, costly, labor-intensive, subjective, and often require destructive sampling. We explore ways to improve the efficiency of crop phenotyping through the use of unmanned aerial vehicle (UAV)-based multispectral remotely sensed data in maize (Zea mays L.) varietal response to maize streak virus (MSV) disease. Twenty-five maize varieties grown in a trial with three replications were evaluated under artificial MSV inoculation. Ground scoring for MSV infection was carried out at mid-vegetative, flowering, and mid-grain filling on a scale of 1 (resistant) to 9 (susceptible). UAV-derived spectral data were acquired at these three different phenological stages in multispectral bands corresponding to Green (0.53–0.57 ?m), Red (0.64–0.68 ?m), Rededge (0.73–0.74 ?m), and Near-Infrared (0.77–0.81 ?m). The imagery captured was stitched together in Pix4Dmapper, which generates two types of multispectral orthomosaics: the NoAlpha and the transparent mosaics for each band. The NoAlpha imagery was used as input into QGIS to extract reflectance data. Six vegetation indices were derived for each variety: normalized difference vegetation index (NDVI), green normalized difference vegetation index (GNDVI), Rededge NDVI (NDVIrededge), Simple Ratio (SR), green Chlorophyll Index (CIgreen), and Rededge Chlorophyll Index (CIrededge). The Random Forest (RF) classifier was used to evaluate UAV-derived spectral and VIs with and without variable optimization. Correlations between the UAV-derived data and manual MSV scores were significant (R = 0.74–0.84). Varieties were classified into resistant, moderately resistant, and susceptible with overall classification accuracies of 77.3% (Kappa = 0.64) with optimized and 68.2% (Kappa = 0.51) without optimized variables, representing an improvement of ~13.3% due to variable optimization. The RF model selected GNDVI, CIgreen, CIrededge, and the Red band as the most important variables for classification. Mid-vegetative was the most ideal phenological stage for accurate varietal phenotyping and discrimination using UAV-derived multispectral data with RF under artificial MSV inoculation. The results provide a rapid UAV-based remote sensing solution that offers a step-change towards data availability at high spatial (submeter) and temporal (daily/weekly) resolution in varietal analysis for quick and robust high-throughput plant phenotyping, important for timely and unbiased data-driven variety selection and release in plant breeding programs, especially as climate change accelerates.
14;"Esther GrÃ¼ner; Michael Wachendorf; Thomas Astor";2020;;The potential of UAV-borne spectral and textural information for predicting aboveground biomass and N fixation in legume-grass mixtures.;PloS one;72;10.1371/journal.pone.0234703;Organic farmers, who rely on legumes as an external nitrogen (N) source, need a fast and easy on-the-go measurement technique to determine harvestable biomass and the amount of fixed N (NFix) for numerous farm management decisions. Especially clover- and lucerne-grass mixtures play an important role in the organic crop rotation under temperate European climate conditions. Multispectral sensors mounted on unmanned aerial vehicles (UAVs) are new promising tools for a non-destructive assessment of crop and grassland traits on large and remote areas. One disadvantage of multispectral information and derived vegetations indices is, that both ignore spatial relationships of pixels to each other in the image. This gap can be filled by texture features from a grey level co-occurrence matrix. The aim of this multi-temporal field study was to provide aboveground biomass and NFix estimation models for two legume-grass mixtures through a whole vegetation period based on UAV multispectral information. The prediction models covered different proportions of legumes (0-100% legumes) to represent the variable conditions in practical farming. Furthermore, the study compared prediction models with and without the inclusion of texture features. As multispectral data usually suffers from multicollinearity, two machine learning algorithms, Partial Least Square and Random Forest (RF) regression, were used. The results showed, that biomass prediction accuracy for the whole dataset as well as for crop-specific models were substantially improved by the inclusion of texture features. The best model was generated for the whole dataset by RF with an rRMSE of 10%. For NFix prediction accuracy of the best model was based on RF including texture (rRMSEP = 18%), which was not consistent with crop specific models.
15;"Annamaria Castrignanò; Gabriele Buttafuocò; R. Quarto; D. Parisi; Raphael A. Viscarra Rossel; Fabio Terribile; Giuliano Langella; Accursio Venezia";2018;"Ground-penetrating radar; Spatial variability; Remote sensing; Precision agriculture; Kriging";A geostatistical sensor data fusion approach for delineating homogeneous management zones in Precision Agriculture;CATENA;69;10.1016/j.catena.2018.05.011;Application of Precision Agriculture requires an accurate assessment of fine-resolution spatial variation. At present, advances in proximal sensing and spatial data analysis are available to characterize soil systems and detect changes in physical or chemical properties useful to understand and manage the variation within fields in a site-specific way. The objective of this work was to verify the suitability of geostatistical techniques to fuse data measured with different geophysical sensors for delineating homogeneous within-field zones for Precision Agriculture. A geophysical survey, using electromagnetic induction (EMI) and ground penetrating radar (GPR), was carried out at Montecorvino Rovella in the southern Apennines (Salerno, Italy). Both sensors (EMI and GPR) enabled the assessment of variation of soil dielectric properties both laterally and vertically. The study area is a 5?ha terraced olive grove under organic cropping. The sensor surveys were carried out along the terraces and over the entire field. The multi-sensor data were analyzed using geostatistical techniques to estimate synthetic scale-dependent regionalized factors. The results allowed the division of the study area into smaller areas, characterized by different properties that could impact agronomic management. In particular, a large area was delineated in the northern part of the grove, where apparent soil electrical conductivity and radar attenuation were greater. Through soil profiling it was shown that soils of the northern macro-area refer to deep, well developed, clayey Luvic Phaezem, whereas soils of the southern macro-area are shallower and less developed, sandy loam Leptic Calcisol. The proposed geostatistical approach effectively combined the complementary 2D EMI and 3D GPR measurements, to delineate areas characterized by different soil horizontal and vertical conditions. This within-olive grove partition might be advantageously used for site-specific tillage and fertilization.
16;"Ashok Amgoth; H. P. Rani; K. Jayakumar";2023;"Satellite imagery; Land cover; Vegetation (pathology); Land use; Geography";Exploring LULC changes in Pakhal Lake area, Telangana, India using QGIS MOLUSCE plugin;SPATIAL INFORMATION RESEARCH;64;10.1007/s41324-023-00509-1;Dynamic processes such as environmental, economic, and social factors influence land use and land cover (LULC) changes, with temporal and spatial variations. This study aims to identify changes in LULC and predict future trends in the Pakhal Lake area in Peninsular India. Satellite images for the years from 2016 to 2022 were used for LULC classification using deep learning with Sentinel ? 2 imagery in Google Earth Engine (GEE). Dynamic World dataset is used to classify the LULC changes of the study area with a 10 m near-real-time dataset. Images were classified based on six different LULC classes, namely water, vegetation, flooded vegetation, agriculture, built-up area, and bare land. The Cellular Automata–Artificial Neural Network (CA ? ANN) technique was used to predict LULC changes. QGIS plugin MOLUSCE with Multi-Layer Perception (MLP), was used to predict and determine potential LULC changes for 2025 and 2028. The overall Kappa coefficient value of 0.78, and an accuracy of 82% indicated good results for LULC changes and projected maps for 2025. Prediction of LULC changes using MLP ? ANN for the years 2025 and 2028 showed increase in agriculture, built-up areas, and barren land. The results of the study will be useful to develop better management techniques of natural resources.
17;"Tao Cheng; Xusheng Ji; Gaoxiang Yang; Hengbiao Zheng; Jifeng Ma; Xia Yao; Yan Zhu; Weixing Cao";2020;"Satellite imagery; Planet; Remote sensing; Satellite; Crop";DESTIN: A new method for delineating the boundaries of crop fields by fusing spatial and temporal information from WorldView and Planet satellite imagery;COMPUTERS AND ELECTRONICS IN AGRICULTURE;63;10.1016/j.compag.2020.105787;The digital boundaries of crop fields represent a prerequisite for designing parcel-based crop management platforms, implementing online site-specific agronomic practices and monitoring crop growth per field. Previous approaches on field boundary delineation were mostly developed with medium resolution imagery (e.g., Landsat) for the regions or countries with intensive agriculture and large-sized crop fields. However, suitable delineation methods are scarce for the regions in developing countries where the majority of arable land is cultivated by smallholder farmers and distributed in small and fragmented crop fields. This study proposed a comprehensive method, delineation by fusing spatial and temporal information (DESTIN), to derive the boundaries of crop fields from sub-meter WorldView-2/3 and 3-m Planet imagery. After extraction of spatial objects from very high resolution (VHR) WorldView imagery, this method performed recognition of crop field objects using high resolution (HR) Planet-derived temporal features specifically concerning soil preparation and harvesting stages for summer crops. The performance of DESTIN in crop field boundary delineation was evaluated with the reference polygons (0.4–1.0 ha in area on average) over four subset areas in eastern China’s Jiangsu province, and further compared with a benchmark objection extraction approach. The results demonstrated that the integration of WorldView and Planet imagery as demanded by DESTIN yielded accurate recognition of crop fields with the classification overall accuracy (OA) ranging from 94.98% to 98.84%, which was remarkably improved over the use of WorldView or Planet imagery alone with increases in OA from 12% to 17%. The majority of crop field boudaries were successfully delineated with both methods, but DESTIN produced cleaner polygons than the benchmark appraoch and closer matches of field boundaries to the reference. DESTIN also yielded better one-to-one matches between delineations and reference (77% as opposed to 54%) and fewer one-to-many matches (1% as opposed to 33%) as a reflection of being less prone to over-segmentation. The DESTIN method does not need subjective parameterization for image segmentation, and could be applicable to the areas with availability of bi-temporal VHR imagery over the soil preparation and harvesting stages and HR imagery over the peak growth stage of summer crops. It has great potential for delineating the crop field boundaries in smallholder farming systems with VHR imagery acquired from satellite, airborne or unmanned aerial vehicle platforms.
18;"?????? ????????; Mykola Lavreniuk; Nataliia Kussul; Alexei Novikov; Sergii Skakun";2017;"Cloud computing; Scale (ratio); Computer science; Big data; Support vector machine";Large scale crop classification using Google earth engine platform;2017 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS);63;doi.org/10.1109/igarss.2017.8127801;For many applied problems in agricultural monitoring and food security it is important to provide reliable crop classification maps in national or global scale. Large amount of satellite data for large scale crop mapping generate a “Big Data” problem. The main idea of this paper was comparison of pixel-based approaches to crop mapping in Ukraine and exploring efficiency of the Google Earth Engine (GEE) cloud platform for solving “Big Data” problem and providing high resolution crop classification map for large territory. The study is carried out for the Joint Experiment of Crop Assessment and Monitoring (JECAM) test site in Ukraine covering the Kyiv region (North of Ukraine) in 2013. We found that Google Earth Engine (GEE) provided very good performance in enabling access to remote sensing products through the cloud platform, but our own approach based on ensemble of neural networks outperformed SVM, decision tree and random forest classifiers that are available in GEE.
19;"Jakob Geipel; Anne Kjersti Bakken; Marit JÃ¸rgensen; Audun Korsaeth";2021;"UAV; Hyperspectral imaging; Multivariate statistics; Forage; Yield; Quality";Forage yield and quality estimation by means of UAV and hyperspectral imaging;Precision Agriculture;58;10.1007/s11119-021-09790-2;This study investigated the potential of in-season airborne hyperspectral imaging for the calibration of robust forage yield and quality estimation models. An unmanned aerial vehicle (UAV) and a hyperspectral imager were used to capture canopy reflections of a grass-legume mixture in the range of 450Â nm to 800Â nm. Measurements were performed over two years at two locations in Southeast and Central Norway. All images were subject to radiometric and geometric corrections before being processed to ortho-images, carrying canopy reflectance information. The data (nâ€‰=â€‰707) was split in two, using half the data for model calibration and the remaining half for validation. Several powered partial least squares regression (PPLSR) models were fitted to the reflectance data to estimate fresh (FM) and dry matter (DM) yields, as well as crude protein (CP), dry matter digestibility (DMD), neutral detergent fibre (NDF), and indigestible neutral detergent fibre (iNDF) content. Prediction performance of these models was compared with the prediction performance of simple linear regression (SLR) models, which were based on selected vegetation indices and plant height. The highest prediction accuracies for general models, based on the pooled data, were achieved by means of PPLSR, with relative root-mean-square errors of validation of 14.2% (2550Â kg FM haâˆ’1), 15.2% (555Â kg DM haâˆ’1), 11.7% (1.32Â g CP 100Â gâˆ’1 DM), 2.4% (1.71Â g DMD 100Â gâˆ’1 DM), 4.8% (2.72Â g NDF 100Â gâˆ’1 DM), and 12.8% (1.32Â g iNDF 100Â gâˆ’1 DM) for the prediction of FM, DM, CP, DMD, NDF, and iNDF content, respectively. None of the tested SLR models achieved acceptable prediction accuracies.
20;"Pietro Mattivi; Salvatore Eugenio Pappalardo; Nebojša Nikoli?; Luca Mandolesi; Antonio Persichetti; Massimo De Marchi; Roberta Masin";2021;"Precision agriculture; Weed; Computer science; Agriculture; Open source";Can Commercial Low-Cost Drones and Open-Source GIS Technologies Be Suitable for Semi-Automatic Weed Mapping for Smart Farming? A Case Study in NE Italy;REMOTE SENSING;51;10.3390/rs13101869;"Weed management is a crucial issue in agriculture, resulting in environmental in-field and off-field impacts. Within Agriculture 4.0, adoption of UASs combined with spatially explicit approaches may drastically reduce doses of herbicides, increasing sustainability in weed management. However, Agriculture 4.0 technologies are barely adopted in small-medium size farms. Recently, small and low-cost UASs, together with open-source software packages, may represent a low-cost spatially explicit system to map weed distribution in crop fields. The general aim is to map weed distribution by a low-cost UASs and a replicable workflow, completely based on open GIS software and algorithms: OpenDroneMap, QGIS, SAGA and OpenCV classification algorithms. Specific objectives are: (i) testing a low-cost UAS for weed mapping; (ii) assessing open-source packages for semi-automatic weed classification; (iii) performing a sustainable management scenario by prescription maps. Results showed high performances along the whole process: in orthomosaic generation at very high spatial resolution (0.01 m/pixel), in testing weed detection (Matthews Correlation Coefficient: 0.67–0.74), and in the production of prescription maps, reducing herbicide treatment to only 3.47% of the entire field. This study reveals the feasibility of low-cost UASs combined with open-source software, enabling a spatially explicit approach for weed management in small-medium size farmlands."
